region_type,country,percent_yoy_change,date
countries,Germany,11,2020-02-18
countries,Germany,4,2020-02-19
countries,Germany,3,2020-02-20
countries,Germany,5,2020-02-21
countries,Germany,1,2020-02-22
countries,Germany,2,2020-02-23
countries,Germany,11,2020-02-24
countries,Germany,4,2020-02-25
countries,Germany,5,2020-02-26
countries,Germany,5,2020-02-27
countries,Germany,11,2020-02-28
countries,Germany,7,2020-02-29
countries,Germany,9,2020-03-01
countries,Germany,-8,2020-03-02
countries,Germany,0,2020-03-03
countries,Germany,-4,2020-03-04
countries,Germany,-6,2020-03-05
countries,Germany,-7,2020-03-06
countries,Germany,4,2020-03-07
countries,Germany,11,2020-03-08
countries,Germany,-10,2020-03-09
countries,Germany,-16,2020-03-10
countries,Germany,-11,2020-03-11
countries,Germany,-17,2020-03-12
countries,Germany,-28,2020-03-13
countries,Germany,-38,2020-03-14
countries,Germany,-46,2020-03-15
countries,Germany,-63,2020-03-16
countries,Germany,-90,2020-03-17
countries,Germany,-95,2020-03-18
countries,Germany,-98,2020-03-19
countries,Germany,-98,2020-03-20
countries,Germany,-99,2020-03-21
countries,Germany,-99,2020-03-22
countries,Germany,-100,2020-03-23
countries,Germany,-100,2020-03-24
countries,Germany,-100,2020-03-25
countries,Germany,-100,2020-03-26
countries,Germany,-100,2020-03-27
countries,Germany,-100,2020-03-28
countries,Germany,-100,2020-03-29
countries,Germany,-100,2020-03-30
countries,Germany,-100,2020-03-31
countries,Germany,-100,2020-04-01
countries,Germany,-100,2020-04-02
countries,Germany,-100,2020-04-03
countries,Germany,-100,2020-04-04
countries,Germany,-100,2020-04-05
countries,Germany,-100,2020-04-06
countries,Germany,-100,2020-04-07
countries,Germany,-100,2020-04-08
countries,Germany,-100,2020-04-09
countries,Germany,-99,2020-04-10
countries,Germany,-100,2020-04-11
countries,Germany,-100,2020-04-12
countries,Germany,-100,2020-04-13
countries,Germany,-99,2020-04-14
countries,Germany,-100,2020-04-15
countries,Germany,-100,2020-04-16
countries,Germany,-100,2020-04-17
countries,Germany,-100,2020-04-18
countries,Germany,-100,2020-04-19
countries,Germany,-100,2020-04-20
countries,Germany,-100,2020-04-21
countries,Germany,-100,2020-04-22
countries,Germany,-100,2020-04-23
countries,Germany,-100,2020-04-24
countries,Germany,-100,2020-04-25
countries,Germany,-100,2020-04-26
countries,Germany,-100,2020-04-27
countries,Germany,-100,2020-04-28
countries,Germany,-100,2020-04-29
countries,Germany,-99,2020-04-30
countries,Germany,-100,2020-05-01
countries,Germany,-99,2020-05-02
countries,Germany,-100,2020-05-03
countries,Germany,-100,2020-05-04
countries,Germany,-100,2020-05-05
countries,Germany,-100,2020-05-06
countries,Germany,-100,2020-05-07
countries,Germany,-100,2020-05-08
countries,Germany,-99,2020-05-09
countries,Germany,-99,2020-05-10
countries,Germany,-94,2020-05-11
countries,Germany,-95,2020-05-12
countries,Germany,-91,2020-05-13
countries,Germany,-91,2020-05-14
countries,Germany,-79,2020-05-15
countries,Germany,-79,2020-05-16
countries,Germany,-73,2020-05-17
countries,Germany,-62,2020-05-18
countries,Germany,-65,2020-05-19
countries,Germany,-55,2020-05-20
countries,Germany,-24,2020-05-21
countries,Germany,-50,2020-05-22
countries,Germany,-60,2020-05-23
countries,Germany,-54,2020-05-24
countries,Germany,-56,2020-05-25
countries,Germany,-59,2020-05-26
countries,Germany,-54,2020-05-27
countries,Germany,-67,2020-05-28
countries,Germany,-43,2020-05-29
countries,Germany,-32,2020-05-30
countries,Germany,0,2020-05-31
countries,Germany,32,2020-06-01
countries,Germany,-39,2020-06-02
countries,Germany,-31,2020-06-03
countries,Germany,-42,2020-06-04
countries,Germany,-23,2020-06-05
countries,Germany,-22,2020-06-06
countries,Germany,-41,2020-06-07
countries,Germany,-54,2020-06-08
countries,Germany,-13,2020-06-09
countries,Germany,-9,2020-06-10
countries,Germany,7,2020-06-11
countries,Germany,3,2020-06-12
countries,Germany,-14,2020-06-13
countries,Germany,-21,2020-06-14
countries,Germany,-27,2020-06-15
countries,Germany,-24,2020-06-16
countries,Germany,-23,2020-06-17
countries,Germany,-30,2020-06-18
countries,Germany,-6,2020-06-19
countries,Germany,-4,2020-06-20
countries,Germany,7,2020-06-21
countries,Germany,-13,2020-06-22
countries,Germany,-8,2020-06-23
countries,Germany,-1,2020-06-24
countries,Germany,-7,2020-06-25
countries,Germany,-1,2020-06-26
countries,Germany,0,2020-06-27
countries,Germany,14,2020-06-28
countries,Germany,-16,2020-06-29
countries,Germany,-10,2020-06-30
countries,Germany,-5,2020-07-01
countries,Germany,-7,2020-07-02
countries,Germany,0,2020-07-03
countries,Germany,3,2020-07-04
countries,Germany,0,2020-07-05
countries,Germany,-15,2020-07-06
countries,Germany,-6,2020-07-07
countries,Germany,-1,2020-07-08
